0	gangster
1	daddy
2	friend
3	coward
4	son
5	gentleman
6	atheist
7	doctor
8	racist
9	hypocrite
10	american
11	family
12	kid
13	wife
14	police
15	worker
16	asshole
17	boy
18	coach
19	chief
20	idiot
21	white
22	mother
23	woman
24	fool
25	judge
26	muslim
27	hater
28	dad
29	husband
30	brother
31	lawyer
32	nephew
33	hero
34	girl
35	teen
36	mom
37	man
38	guy
39	junior
40	owner
41	parent
42	reporter
43	neighbor
44	moron
45	cop
46	leader
47	christian
48	teacher
49	loser
50	employee
51	punk
52	shooter
53	artist
54	victim
55	daughter
56	black
57	baby
58	bastard
59	grandpa
60	protestor
61	lady
62	mama
63	fan
64	sheriff
65	child
66	coworker
67	genius
68	lover
69	hipster
70	singer
71	momma
72	buddy
73	cousin
74	aunt
75	player
76	politician
77	angel
78	student
79	addict
80	enemy
81	runner
82	gf
83	stranger
84	sophomore
85	author
86	poor
87	best friend
88	partner
89	nerd
90	sucker
91	nigga
92	female
93	grandma
94	rebel
95	fighter
96	president
97	lesbian
98	instructor
99	follower
100	bro
101	boyfriend
102	chick
103	gay
104	black woman
105	writer
106	chinese
107	sister
108	liar
109	marine
110	asian
111	supporter
112	virgin
113	dentist
114	adult
115	saint
116	roommate
117	girlfriend
118	dude
119	slut
120	feminist
121	client
122	actor
123	producer
124	african american
125	liberal
126	white woman
127	criminal
128	homeless
129	customer
130	rich
131	terrorist
132	murderer
133	director
134	jew
135	bf
136	manager
137	clown
138	father
139	maid
140	comedian
141	hoe
142	pal
143	professor
144	mexican
145	user
146	believer
147	poet
148	pro
149	winner
150	rapper
151	innocent
152	grad
153	thot
154	guard
155	stripper
156	uncle
157	dancer
158	qb
159	boxer
160	hispanic
161	athlete
162	college student
163	toddler
164	minority
165	white man
166	supervisor
167	japanese
168	celebrity
169	citizen
170	champion
171	teenager
172	guest
173	blogger
174	geek
175	freshman
176	volunteer
177	killer
178	cheerleader
179	individual
180	secretary
181	grandfather
182	expert
183	candidate
184	prosecutor
185	resident
186	commissioner
187	professional
188	deputy
189	assistant
190	executive
191	taxpayer
192	minister
193	speaker
194	spouse
195	ceo
196	niece
197	musician
198	vegan
199	thug
200	sibling
201	host
202	arab
203	blonde
204	boss
205	nurse
206	princess
207	latino
208	immigrant
209	voter
210	conservative
211	jerk
212	announcer
213	scientist
214	rapist
215	bride
216	police officer
217	chef
218	freak
219	teammate
220	thief
221	republican
222	alcoholic
223	tourist
224	detective
225	priest
226	pope
227	pilot
228	inmate
229	rep
230	protester
231	vet
232	democrat
233	activist
234	veteran
235	advocate
236	radical
237	lawmaker
238	native
239	actress
240	canadian
241	designer
242	bully
243	mentor
244	firefighter
245	passenger
246	intern
247	hacker
248	journalist
249	mayor
250	socialist
251	academic
252	pitcher
253	ambassador
254	employer
255	patriot
256	minor
257	hooker
258	civilian
259	governor
260	bartender
261	pimp
262	preacher
263	officer
264	engineer
265	baptist
266	millionaire
267	editor
268	rider
269	senator
270	vegetarian
271	consumer
272	spy
273	relative
274	extremist
275	surgeon
276	principal
277	witness
278	scholar
279	soldier
280	survivor
281	critic
282	colleague
283	little brother
284	photographer
285	black man
286	bum
287	prisoner
288	chairman
289	donor
290	indian
291	patient
292	hostage
293	russian
294	goon
295	entrepreneur
296	juror
297	grandmother
298	pastor
299	attorney
300	homosexual
301	farmer
302	bachelor
303	israeli
304	middle class
305	economist
306	gunman
307	consultant
308	intellectual
309	catholic
